ingredient,n
salt,14315
water,7804
flavoring,6476
sugar,3666
enzyme,3480
spice,3206
citric acid,2995
soybean oil,2058
sodium phosphate,1949
cheese culture,1916
riboflavin,1868
folic acid,1862
milk,1767
niacin,1767
wheat flour,1729
dextrose,1626
onion,1509
xanthan gum,1472
cream,1471
maltodextrin,1431
preservative,1293
thiamine mononitrate,1245
garlic,1234
corn starch,1221
soy lecithin,1199
whey,1188
modified corn starch,1182
color,1163
pasteurized milk,1098
wheat,1000
lactic acid,968
cheddar cheese,962
yeast extract,937
caramel color,936
soy,931
pork,890
modified food starch,876
soybean,865
reduced iron,848
yeast,846
annatto,819
whole egg,805
guar gum,789
butter,783
sodium acid pyrophosphate,758
nonfat milk,755
canola oil,750
diglyceride,731
thiamin mononitrate,721
garlic powder,717
palm oil,698
vitamin,698
iron,689
sunflower oil,689
egg white,677
potato,673
sodium bicarbonate,673
mono,662
ferrous sulfate,631
egg,623
potassium chloride,620
culture,596
vegetable oil,595
onion powder,587
tomato,573
natural,559
wheat gluten,547
tomato paste,537
malted barley flour,533
vinegar,518
nonfat dry milk,489
sorbic acid,472
skim milk,471
cultured milk,465
parmesan cheese,458
sodium citrate,453
leavening,452
corn syrup solid,446
monocalcium phosphate,444
carrot,442
potassium sorbate,442
monosodium glutamate,433
carrageenan,428
buttermilk,427
canola,423
autolyzed yeast extract,422
black pepper,417
disodium inosinate,410
sodium caseinate,390
ascorbic acid,387
red bell pepper,385
calcium propionate,377
soy protein concentrate,369
olive oil,367
parsley,365
calcium chloride,361
corn,359
enriched flour,349
disodium guanylate,346
calcium sulfate,343
turmeric,339
enriched wheat flour,336
paprika,325
sodium erythorbate,318
sodium bisulfite,317
sodium nitrite,316
high fructose corn syrup,301
bleached wheat flour,299
corn oil,299
bht,293
brown sugar,290
sodium aluminum phosphate,283
whey protein concentrate,283
beta carotene,279
soy flour,276
durum wheat semolina,275
tomato puree,275
cornstarch,272
annatto extract,270
beef,267
monoglyceride,262
cheese,256
spice extractive,248
potato starch,246
dehydrated onion,244
disodium phosphate,240
propyl gallate,240
vitamin a palmitate,238
isolated soy protein,235
datem,232
dough conditioner,230
milkfat,230
cottonseed oil,224
whole milk,223
yellow corn flour,216
baking powder,215
wheat starch,208
celery,207
distilled vinegar,207
annatto color,205
chicken broth,203
enriched pasta,202
whole wheat flour,202
artificial color,197
baking soda,190
diced tomato,190
ginger,190
silicon dioxide,188
basil,186
extra virgin olive oil,186
hydrolyzed soy protein,184
sodium diacetate,184
pepper,178
chicken fat,177
corn syrup,176
bha,175
molasse,174
spinach,174
dehydrated garlic,171
rice,168
soy protein isolate,166
biscuit,164
jalapeno pepper,162
niacinamide,162
enriched bleached wheat flour,159
cultured pasteurized milk,158
modified potato starch,158
tomato juice,157
organic corn starch,155
methylcellulose,154
red pepper,152
broccoli,151
calcium lactate,150
sodium tripolyphosphate,150
paprika extract,148
partskim milk,148
alcohol,145
